
The orders to be produced: 161
  OrderId      pcId      qty      profitRate      totalProfit       discount
      100         9        2             %28          1260.00         100.80
      101         0       20             %57         23370.00        2052.00
      102         5       28             %68         54264.00        5140.80
      103        10       16             %32         11520.00         921.60
      104         1       15             %42         14175.00        1134.00
      105        11       15             %70         25725.00        1890.00
      106         6        7             %50          9975.00         945.00
      107         7        9             %39         10705.50         947.70
      108         8        8             %64         10496.00         921.60
      109        11       21             %26         13377.00         982.80
      110         6       28             %46         36708.00        3477.60
      111        11        2             %65          3185.00         234.00
      112         9        9             %28          5670.00         453.60
      113         6       30             %48         41040.00        3888.00
      114         5       29             %68         56202.00        5324.40
      115         0       25             %36         18450.00        1620.00
      116         6        9             %51         13081.50        1239.30
      117        11       30             %32         23520.00        1728.00
      118         7       27             %37         30469.50        2697.30
      119         2       20             %34         15300.00        1224.00
      120        11       14             %37         12691.00         932.40
      121         7        9             %45         12352.50        1093.50
      122        13       12             %63         21546.00        2041.20
      123        12       14             %34         12614.00        1285.20
      124         5       19             %51         27616.50        2616.30
      125         5       21             %46         27531.00        2608.20
      126         3        3             %52          3822.00         280.80
      127         5       21             %73         43690.50        4139.10
      128         6       17             %39         18895.50        1790.10
      129        11       22             %70         37730.00        2772.00
      130        10       24             %74         39960.00        3196.80
      131         9       21             %49         23152.50        1852.20
      132         7       13             %57         22600.50        2000.70
      133         2        1             %57          1282.50         102.60
      134         6       17             %60         29070.00        2754.00
      135        12        8             %34          7208.00         734.40
      136        13       11             %65         20377.50        1930.50
      137         5       16             %35         15960.00        1512.00
      138        10       11             %60         14850.00        1188.00
      139        12       11             %58         16907.00        1722.60
      140        15       11             %53         17781.50        1574.10
      141        14       13             %57         21118.50        2000.70
      142         3       13             %52         16562.00        1216.80
      143         5        8             %67         15276.00        1447.20
      144         7        5             %25          3812.50         337.50
      145        12       27             %45         32197.50        3280.50
      146         4        6             %44          6996.00         712.80
      147        10       26             %71         41535.00        3322.80
      148         8       22             %73         32923.00        2890.80
      149         9       26             %55         32175.00        2574.00
      150         0        2             %68          2788.00         244.80
      151         2       26             %62         36270.00        2901.60
      152        15       10             %54         16470.00        1458.00
      153        11       27             %62         41013.00        3013.20
      154        13       28             %46         36708.00        3477.60
      155         1       19             %33         14107.50        1128.60
      156        13       22             %64         40128.00        3801.60
      157         7       16             %48         23424.00        2073.60
      158         7       31             %62         58621.00        5189.40
      159         7       20             %53         32330.00        2862.00
      160         3       15             %62         22785.00        1674.00
      161        14       15             %50         21375.00        2025.00
      162         2        6             %62          8370.00         669.60
      163        14       16             %55         25080.00        2376.00
      164        15       26             %36         28548.00        2527.20
      165         2       13             %63         18427.50        1474.20
      166         5        5             %59          8407.50         796.50
      167        15       15             %60         27450.00        2430.00
      168         7       20             %57         34770.00        3078.00
      169         9       30             %74         49950.00        3996.00
      170         3        8             %73         14308.00        1051.20
      171         6       18             %45         23085.00        2187.00
      172         5        9             %63         16159.50        1530.90
      173         5        5             %61          8692.50         823.50
      174        12       26             %37         25493.00        2597.40
      175         7        3             %54          4941.00         437.40
      176         2       19             %37         15817.50        1265.40
      177         2        4             %74          6660.00         532.80
      178         4       10             %61         16165.00        1647.00
      179        15       21             %41         26260.50        2324.70
      180         5       17             %70         33915.00        3213.00
      181         1       25             %29         16312.50        1305.00
      182         3       16             %30         11760.00         864.00
      183        15       22             %41         27511.00        2435.40
      184        14        5             %60          8550.00         810.00
      185         4       20             %42         22260.00        2268.00
      186        13       10             %49         13965.00        1323.00
      187         6       10             %33          9405.00         891.00
      188        14        7             %28          5586.00         529.20
      189        10        1             %27           607.50          48.60
      190         2       28             %69         43470.00        3477.60
      191        14        9             %56         14364.00        1360.80
      192        10       30             %67         45225.00        3618.00
      193        12       26             %61         42029.00        4282.20
      194         9       31             %66         46035.00        3682.80
      195         9       25             %47         26437.50        2115.00
      196         0       27             %30         16605.00        1458.00
      197         8        1             %32           656.00          57.60
      198         9        3             %39          2632.50         210.60
      199        13        9             %51         13081.50        1239.30
      200         9       23             %40         20700.00        1656.00
      201        14       11             %55         17242.50        1633.50
